núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
6640,2020,1,13,1,12,3,2,11,1102,99,1,63,11,11,13,97,6
6641,2020,1,13,1,3,1,1,10,1001,99,2,42,7,7,9,104,6
6642,2020,1,14,2,9,2,1,11,1101,99,2,30,5,5,7,97,6
6643,2020,1,14,2,5,1,1,10,1008,99,2,50,9,9,11,104,6
6644,2020,1,15,3,10,2,1,11,1101,99,2,40,7,7,9,104,6
6645,2020,1,15,3,10,2,1,10,1001,99,2,21,3,3,5,104,6
6646,2020,1,15,3,13,3,2,11,1101,99,1,45,8,8,10,95,6
6647,2020,1,15,3,14,3,2,10,1014,99,2,68,11,12,14,97,6
6648,2020,1,16,4,11,2,1,11,1101,99,1,24,3,3,5,104,6
6649,2020,1,16,4,13,3,2,11,1104,99,2,21,3,3,5,104,6
6650,2020,1,16,4,20,4,3,11,1109,99,1,52,9,9,11,104,6
6651,2020,1,16,4,16,3,2,10,1016,99,9,999,12,16,18,97,6
6652,2020,1,16,4,13,3,2,10,1001,99,9,999,12,16,18,104,6
6653,2020,1,17,5,4,1,1,11,1105,99,2,30,5,5,7,97,6
6654,2020,1,17,5,13,3,2,11,1105,99,1,40,7,7,9,104,6
6655,2020,1,17,5,17,3,2,10,1005,99,1,24,3,3,5,104,6
6656,2020,1,17,5,12,3,2,10,1020,99,1,31,5,5,7,95,6
6657,2020,1,17,5,15,3,2,9,901,99,1,46,8,8,10,97,6
6658,2020,1,18,6,12,3,2,11,1101,99,1,23,3,3,5,97,6
6659,2020,1,19,7,13,3,2,11,1101,99,2,42,7,7,9,104,6
6660,2020,1,19,7,15,3,2,7,705,99,1,22,3,3,5,99,6
6661,2020,1,20,1,11,2,1,11,1103,99,1,30,5,5,7,104,6
6662,2020,1,20,1,16,3,2,10,1001,99,1,29,4,4,6,97,6
6663,2020,1,20,1,17,3,2,10,1001,99,2,42,7,7,9,104,6
6664,2020,1,21,2,21,4,3,10,1001,99,1,25,4,4,6,104,6
6665,2020,1,21,2,10,2,1,11,1101,99,1,24,3,3,5,104,6
6666,2020,1,21,2,14,3,2,11,1101,99,1,38,6,6,8,104,6
6667,2020,1,21,2,10,2,1,11,1107,99,2,34,5,5,7,104,6
6668,2020,1,21,2,15,3,2,11,1101,99,1,72,11,13,15,94,6
6669,2020,1,21,2,16,3,2,11,1101,99,1,32,5,5,7,94,6
6670,2020,1,21,2,19,4,3,10,1020,99,2,30,5,5,7,104,6
6671,2020,1,21,2,22,4,3,11,1101,99,1,46,8,8,10,97,6
6672,2020,1,22,3,15,3,2,10,1004,99,2,60,11,11,13,94,6
6673,2020,1,22,3,17,3,2,11,1101,99,1,72,11,13,15,104,6
6674,2020,1,22,3,14,3,2,11,1102,99,1,32,5,5,7,104,6
6675,2020,1,22,3,20,4,3,11,1109,99,1,48,8,8,10,97,6
6676,2020,1,22,3,13,3,2,10,1001,99,9,999,12,16,18,94,6
6677,2020,1,23,4,10,2,1,10,1010,99,2,19,2,2,4,104,6
6678,2020,1,23,4,9,2,1,10,1021,99,1,48,8,8,10,104,6
6679,2020,1,23,4,14,3,2,10,1008,99,2,29,4,4,6,97,6
6680,2020,1,23,4,11,2,1,10,1001,99,2,39,6,6,8,97,6
6681,2020,1,23,4,10,2,1,10,1001,99,9,999,12,16,18,97,6
6682,2020,1,23,4,10,2,1,11,1101,99,2,27,4,4,6,104,6
6683,2020,1,25,6,20,4,3,11,1101,99,2,33,5,5,7,97,6
6684,2020,1,25,6,15,3,2,10,1014,99,2,39,6,6,8,104,6
6685,2020,1,25,6,11,2,1,10,1012,99,1,70,11,13,15,104,6
6686,2020,1,26,7,10,2,1,10,1001,99,9,999,12,16,18,104,6
6687,2020,1,27,1,9,2,1,11,1102,99,2,26,4,4,6,104,6
6688,2020,1,27,1,12,3,2,11,1102,99,1,31,5,5,7,104,6
6689,2020,1,27,1,12,3,2,11,1101,99,2,29,4,4,6,97,6
6690,2020,1,27,1,14,3,2,11,1101,99,1,51,9,9,11,97,6
6691,2020,1,27,1,16,3,2,11,1102,99,1,39,6,6,8,104,6
6692,2020,1,27,1,13,3,2,10,1004,99,9,999,12,16,18,104,6
6693,2020,1,27,1,11,2,1,10,1002,99,9,999,12,16,18,104,6
6694,2020,1,27,1,14,3,2,11,1105,99,1,22,3,3,5,97,6
6695,2020,1,28,2,17,3,2,10,1001,99,1,32,5,5,7,97,6
6696,2020,1,28,2,12,3,2,11,1101,99,2,43,7,7,9,104,6
6697,2020,1,28,2,11,2,1,10,1001,99,9,999,12,16,18,97,6
6698,2020,1,28,2,19,4,3,11,1109,99,2,19,2,2,4,104,6
6699,2020,1,29,3,13,3,2,11,1109,99,1,73,11,13,15,104,6
6700,2020,1,29,3,23,4,3,11,1101,99,1,22,3,3,5,104,6
6701,2020,1,29,3,12,3,2,10,1015,99,1,65,11,12,14,104,6
6702,2020,1,29,3,15,3,2,11,1101,99,2,44,7,7,9,104,6
6703,2020,1,29,3,13,3,2,7,706,99,2,36,6,6,8,104,6
6704,2020,1,29,3,16,3,2,10,1003,99,9,999,12,16,18,97,6
6705,2020,1,30,4,16,3,2,10,1016,99,9,999,12,16,18,104,6
6706,2020,1,30,4,16,3,2,9,921,99,1,36,6,6,8,95,6
6707,2020,1,30,4,19,4,3,11,1101,99,2,20,3,3,5,104,6
6708,2020,1,30,4,11,2,1,11,1106,99,1,19,2,2,4,104,6
6709,2020,1,30,4,13,3,2,11,1109,99,1,26,4,4,6,101,6
6710,2020,1,30,4,11,2,1,10,1008,99,2,28,4,4,6,96,6
6711,2020,1,30,4,15,3,2,11,1101,99,1,46,8,8,10,97,6
6712,2020,1,30,4,11,2,1,10,1010,99,1,30,5,5,7,96,6
6713,2020,1,30,4,15,3,2,10,1001,99,1,27,4,4,6,97,6
6714,2020,1,30,4,13,3,2,10,1007,99,2,24,3,3,5,104,6
6715,2020,1,30,4,14,3,2,7,706,99,1,42,7,7,9,104,6
6716,2020,1,30,4,13,3,2,10,1007,99,2,17,2,2,4,104,6
6717,2020,1,31,5,10,2,1,11,1101,99,1,26,4,4,6,104,6
6718,2020,1,31,5,12,3,2,11,1108,99,1,31,5,5,7,97,6
6719,2020,1,31,5,16,3,2,10,1010,99,1,999,12,16,18,96,6
6720,2020,1,2,4,22,4,3,4,406,99,1,49,8,8,10,104,6
6721,2020,1,2,4,12,3,2,4,415,99,1,49,8,8,10,97,6
6722,2020,1,2,4,15,3,2,4,409,99,1,32,5,5,7,97,6
6723,2020,1,2,4,17,3,2,4,415,99,2,42,7,7,9,104,6
6724,2020,1,3,5,12,3,2,4,412,99,1,23,3,3,5,97,6
6725,2020,1,3,5,15,3,2,4,401,99,1,60,11,11,13,97,6
6726,2020,1,4,6,14,3,2,4,401,99,1,38,6,6,8,97,6
6727,2020,1,4,6,13,3,2,4,416,99,1,22,3,3,5,104,6
6728,2020,1,4,6,14,3,2,4,413,99,2,37,6,6,8,104,6
6729,2020,1,4,6,15,3,2,4,401,99,1,30,5,5,7,97,6
6730,2020,1,5,7,8,2,1,4,409,99,1,31,5,5,7,104,6
6731,2020,1,6,1,19,4,3,4,401,99,2,37,6,6,8,97,6
6732,2020,1,6,1,19,4,3,4,413,99,2,33,5,5,7,104,6
6733,2020,1,6,1,19,4,3,4,401,99,1,33,5,5,7,104,6
6734,2020,1,6,1,20,4,3,4,401,99,1,28,4,4,6,97,6
6735,2020,1,6,1,20,4,3,4,413,99,2,29,4,4,6,104,6
6736,2020,1,6,1,20,4,3,4,409,99,1,38,6,6,8,104,6
6737,2020,1,6,1,23,4,3,4,404,99,1,22,3,3,5,104,6
6738,2020,1,7,2,21,4,3,4,401,99,2,36,6,6,8,104,6
6739,2020,1,8,3,19,4,3,4,401,99,1,62,11,11,13,97,6
6740,2020,1,8,3,19,4,3,4,416,99,1,31,5,5,7,97,6
6741,2020,1,8,3,19,4,3,4,401,99,1,32,5,5,7,104,6
6742,2020,1,8,3,20,4,3,4,401,99,1,29,4,4,6,97,6
6743,2020,1,8,3,21,4,3,4,406,99,2,38,6,6,8,104,6
6744,2020,1,9,4,21,4,3,4,403,99,1,57,10,10,12,104,6
6745,2020,1,9,4,21,4,3,4,401,99,2,24,3,3,5,97,6
6746,2020,1,9,4,21,4,3,4,410,99,2,49,8,8,10,104,6
6747,2020,1,9,4,21,4,3,4,416,99,1,40,7,7,9,97,6
6748,2020,1,9,4,21,4,3,4,414,99,1,28,4,4,6,97,6
6749,2020,1,9,4,21,4,3,4,401,99,2,27,4,4,6,97,6
6750,2020,1,9,4,21,4,3,4,414,99,2,24,3,3,5,104,6
6751,2020,1,9,4,21,4,3,4,403,99,2,63,11,11,13,104,6
6752,2020,1,9,4,22,4,3,4,401,99,2,17,2,2,4,104,6
6753,2020,1,10,5,10,2,1,4,410,99,2,31,5,5,7,104,6
6754,2020,1,10,5,19,4,3,4,401,99,1,48,8,8,10,97,6
6755,2020,1,10,5,19,4,3,4,413,99,1,28,4,4,6,97,6
6756,2020,1,11,6,13,3,2,4,416,99,2,37,6,6,8,104,6
6757,2020,1,11,6,18,4,3,4,415,99,1,79,11,14,16,104,6
6758,2020,1,11,6,18,4,3,4,401,99,1,28,4,4,6,104,6
6759,2020,1,13,1,12,3,2,4,413,99,1,47,8,8,10,104,6
6760,2020,1,13,1,18,4,3,4,401,99,1,38,6,6,8,104,6
6761,2020,1,14,2,15,3,2,4,401,99,1,33,5,5,7,104,6
6762,2020,1,14,2,10,2,1,4,403,99,1,21,3,3,5,104,6
6763,2020,1,14,2,19,4,3,4,416,99,1,28,4,4,6,104,6
6764,2020,1,15,3,10,2,1,4,401,99,1,34,5,5,7,97,6
6765,2020,1,15,3,13,3,2,4,403,99,1,999,12,16,18,97,6
6766,2020,1,16,4,12,3,2,3,308,99,1,30,5,5,7,97,6
6767,2020,1,16,4,16,3,2,4,401,99,2,42,7,7,9,96,6
6768,2020,1,16,4,17,3,2,4,401,99,2,23,3,3,5,96,6
6769,2020,1,17,5,15,3,2,4,401,99,1,37,6,6,8,104,6
6770,2020,1,17,5,16,3,2,4,413,99,1,23,3,3,5,104,6
6771,2020,1,17,5,16,3,2,4,401,99,2,34,5,5,7,97,6
6772,2020,1,17,5,16,3,2,4,401,99,2,40,7,7,9,94,6
6773,2020,1,17,5,9,2,1,4,401,99,1,27,4,4,6,97,6
6774,2020,1,17,5,12,3,2,1,115,99,1,48,8,8,10,96,6
6775,2020,1,17,5,14,3,2,4,401,99,1,77,11,14,16,97,6
6776,2020,1,18,6,11,2,1,4,406,99,1,30,5,5,7,104,6
6777,2020,1,18,6,15,3,2,4,415,99,1,29,4,4,6,97,6
6778,2020,1,18,6,15,3,2,4,409,99,1,46,8,8,10,97,6
6779,2020,1,18,6,16,3,2,4,401,99,1,47,8,8,10,104,6
6780,2020,1,19,7,15,3,2,4,412,99,1,63,11,11,13,97,6
6781,2020,1,19,7,17,3,2,4,412,99,1,33,5,5,7,104,6
6782,2020,1,20,1,15,3,2,4,401,99,2,49,8,8,10,104,6
6783,2020,1,20,1,18,4,3,4,415,99,1,25,4,4,6,97,6
6784,2020,1,20,1,21,4,3,4,405,99,2,27,4,4,6,104,6
6785,2020,1,21,2,16,3,2,4,415,99,1,21,3,3,5,104,6
6786,2020,1,21,2,21,4,3,4,401,99,1,38,6,6,8,104,6
6787,2020,1,21,2,21,4,3,4,401,99,2,24,3,3,5,104,6
6788,2020,1,21,2,21,4,3,4,401,99,2,42,7,7,9,104,6
6789,2020,1,22,3,15,3,2,4,403,99,1,20,3,3,5,104,6
6790,2020,1,22,3,19,4,3,4,401,99,1,35,6,6,8,97,6
6791,2020,1,22,3,19,4,3,4,401,99,2,36,6,6,8,97,6
6792,2020,1,22,3,20,4,3,4,401,99,1,21,3,3,5,104,6
6793,2020,1,22,3,20,4,3,4,401,99,1,31,5,5,7,104,6
6794,2020,1,22,3,21,4,3,4,414,99,1,48,8,8,10,97,6
6795,2020,1,22,3,21,4,3,4,403,99,1,45,8,8,10,96,6
6796,2020,1,23,4,13,3,2,4,415,99,1,68,11,12,14,97,6
6797,2020,1,24,5,15,3,2,4,401,99,1,43,7,7,9,97,6
6798,2020,1,24,5,20,4,3,4,406,99,2,30,5,5,7,104,6
6799,2020,1,25,6,19,4,3,4,401,99,1,25,4,4,6,104,6
6800,2020,1,25,6,21,4,3,4,406,99,1,55,10,10,12,104,6
6801,2020,1,27,1,15,3,2,4,406,99,1,43,7,7,9,104,6
6802,2020,1,27,1,22,4,3,4,404,99,1,33,5,5,7,97,6
6803,2020,1,27,1,22,4,3,4,401,99,2,58,10,10,12,97,6
6804,2020,1,28,2,11,2,1,4,415,99,1,37,6,6,8,104,6
6805,2020,1,28,2,9,2,1,4,416,99,2,38,6,6,8,104,6
6806,2020,1,29,3,11,2,1,4,412,99,1,21,3,3,5,97,6
6807,2020,1,29,3,12,3,2,4,401,99,1,56,10,10,12,97,6
6808,2020,1,29,3,12,3,2,4,415,99,1,62,11,11,13,104,6
6809,2020,1,30,4,15,3,2,4,404,99,2,44,7,7,9,104,6
6810,2020,1,30,4,10,2,1,4,416,99,2,34,5,5,7,97,6
6811,2020,1,31,5,12,3,2,4,407,99,1,999,12,16,18,97,6
6812,2020,1,31,5,14,3,2,4,406,99,2,41,7,7,9,104,6
6813,2020,1,2,4,14,3,2,22,2214,99,2,40,7,7,9,104,6
6814,2020,1,3,5,10,2,1,22,2217,99,1,51,9,9,11,97,6
6815,2020,1,3,5,13,3,2,22,2207,99,1,42,7,7,9,104,6
6816,2020,1,3,5,14,3,2,22,2201,99,1,33,5,5,7,104,6
6817,2020,1,3,5,16,3,2,22,2202,99,1,23,3,3,5,104,6
6818,2020,1,6,1,12,3,2,22,2202,99,1,49,8,8,10,104,6
6819,2020,1,7,2,15,3,2,22,2204,99,1,21,3,3,5,97,6
6820,2020,1,8,3,8,2,1,22,2212,99,2,41,7,7,9,104,6
6821,2020,1,8,3,10,2,1,22,2216,99,1,21,3,3,5,104,6
6822,2020,1,8,3,16,3,2,22,2212,99,1,63,11,11,13,104,6
6823,2020,1,10,5,8,2,1,22,2204,99,2,40,7,7,9,104,6
6824,2020,1,10,5,15,3,2,22,2202,99,2,27,4,4,6,104,6
6825,2020,1,12,7,18,4,3,22,2204,99,2,37,6,6,8,97,6
6826,2020,1,13,1,17,3,2,22,2201,99,2,56,10,10,12,96,6
6827,2020,1,15,3,11,2,1,22,2201,99,2,29,4,4,6,96,6
6828,2020,1,15,3,16,3,2,22,2211,99,2,23,3,3,5,104,6
6829,2020,1,15,3,16,3,2,22,2211,99,2,61,11,11,13,104,6
6830,2020,1,18,6,16,3,2,22,2212,99,1,36,6,6,8,97,6
6831,2020,1,18,6,17,3,2,22,2201,99,2,28,4,4,6,97,6
6832,2020,1,20,1,18,4,3,22,2206,99,2,24,3,3,5,104,6
6833,2020,1,21,2,11,2,1,22,2210,99,1,59,10,10,12,104,6
6834,2020,1,21,2,20,4,3,22,2205,99,2,34,5,5,7,104,6
6835,2020,1,22,3,16,3,2,22,2207,99,1,55,10,10,12,96,6
6836,2020,1,22,3,17,3,2,1,101,21,1,50,9,9,11,104,6
